Timestamp,Sleep Qual,Headaches pw,Acad Per,Study Load,Extracurr act,Stress Level
27/10/23 21:54,3,1,3,4,2,3
28/10/23 12:24,4,1,2,3,3,2
28/10/23 12:24,2,1,2,1,4,4
28/10/23 12:26,3,2,3,2,3,3
28/10/23 12:26,2,3,1,5,5,3
28/10/23 12:31,3,1,3,2,1,1
28/10/23 12:34,3,5,1,4,3,5
28/10/23 12:35,4,3,1,4,1,1
28/10/23 12:36,2,1,4,4,5,1
28/10/23 12:36,1,2,3,2,5,2
28/10/23 12:37,2,3,5,5,2,4
28/10/23 12:38,3,1,5,1,4,1
28/10/23 12:39,2,3,3,4,4,3
28/10/23 12:40,4,1,4,4,1,1
28/10/23 12:41,4,1,3,2,5,2
28/10/23 12:41,2,3,3,5,3,4
28/10/23 12:48,3,1,3,3,3,4
28/10/23 13:26,1,1,1,1,1,2
28/10/23 13:28,2,1,3,1,2,3
28/10/23 13:29,2,3,3,2,3,4
28/10/23 13:30,3,4,2,2,1,2
28/10/23 13:32,3,3,4,4,3,3
28/10/23 13:33,2,1,2,3,2,2
28/10/23 13:33,3,1,4,4,2,3
28/10/23 13:41,5,1,4,2,1,1
28/10/23 13:42,3,1,3,2,2,1
28/10/23 13:44,5,1,5,1,5,5
28/10/23 13:47,5,5,5,1,1,1
28/10/23 13:52,2,3,3,1,1,2
28/10/23 13:54,3,4,2,1,3,1
28/10/23 13:57,5,1,3,5,5,5
28/10/23 14:09,5,2,3,2,3,4
28/10/23 14:27,5,5,4,5,2,5
28/10/23 14:40,2,3,4,1,2,2
28/10/23 14:58,4,1,5,4,5,2
28/10/23 15:10,5,1,4,3,2,5
28/10/23 15:10,4,1,1,2,4,5
28/10/23 15:39,3,2,3,1,1,3
28/10/23 16:16,3,4,4,5,3,1
28/10/23 16:34,3,1,4,4,4,3
28/10/23 16:55,4,4,3,2,2,2
28/10/23 17:24,4,1,4,5,1,5
28/10/23 17:26,4,2,3,3,5,4
28/10/23 17:29,2,1,4,4,1,3
28/10/23 17:31,5,1,4,5,4,5
28/10/23 17:56,4,1,3,2,5,4
28/10/23 22:33,2,1,4,4,1,4
28/10/23 23:06,4,3,3,2,2,2
28/10/23 23:45,3,3,4,4,4,3
29/10/23 0:32,1,1,1,2,3,1
29/10/23 11:40,5,1,5,1,3,3
31/10/23 10:10,1,1,5,1,5,1
31/10/23 20:49,3,2,3,2,5,2