Nombre,WKT,LATITUD,LONGITUD,X COORD,Y COORD,Point
Centro de Distr.,POINT (-103.3118156 20.6168278),20.6168278,103.3118156,4912,1174,CD
Point 1,POINT (-103.3861222 20.6798981),20.6798981,103.3861222,5166,944,1
Point 2,POINT (-103.3126511 20.6850373),20.6850373,103.3126511,4915,925,2
Point 3,POINT (-103.3449235 20.6747588),20.6747588,103.3449235,5025,963,3
Point 4,POINT (-103.373257 20.7255093),20.7255093,103.373257,5122,777,4
Point 5,POINT (-103.5373653 20.7325734),20.7325734,103.5373653,5683,752,5
Point 6,POINT (-103.2668269 20.7788034),20.7788034,103.2668269,4758,583,6
Point 7,POINT (-103.2826198 20.7710993),20.7710993,103.2826198,4812,611,7
Point 8,POINT (-103.4872401 20.8128247),20.8128247,103.4872401,5511,459,8
Point 9,POINT (-103.4302486 20.764679),20.764679,103.4302486,5317,634,9
Point 10,POINT (-103.4549678 20.910994),20.910994,103.4549678,5401,100,10
Point 11,POINT (-103.3835567 20.7460586),20.7460586,103.3835567,5157,702,11
Point 12,POINT (-103.4182457 20.7225103),20.7225103,103.4182457,5276,788,12
Point 13,POINT (-103.4021095 20.7022789),20.7022789,103.4021095,5221,862,13
Point 14,POINT (-103.396273 20.6820448),20.6820448,103.396273,5201,936,14
Point 15,POINT (-103.2987693 20.711271),20.711271,103.2987693,4868,829,15
Point 16,POINT (-103.2764534 20.6675903),20.6675903,103.2764534,4791,989,16
Point 17,POINT (-103.3056358 20.6438175),20.6438175,103.3056358,4891,1076,17
Point 18,POINT (-103.2266716 20.6611656),20.6611656,103.2266716,4621,1012,18
Point 19,POINT (-103.2036689 20.6653416),20.6653416,103.2036689,4543,997,19
Point 20,POINT (-103.2287315 20.6312872),20.6312872,103.2287315,4628,1122,20
Point 21,POINT (-103.287783 20.6306446),20.6306446,103.287783,4830,1124,21
Point 22,POINT (-103.340117 20.6959574),20.6959574,103.340117,5009,885,22
Point 23,POINT (-103.3941106 20.6107015),20.6107015,103.3941106,5193,1197,23
Point 24,POINT (-103.417555 20.6072359),20.6072359,103.417555,5273,1209,24
Point 25,POINT (-103.4742032 20.6242668),20.6242668,103.4742032,5467,1147,25
Point 26,POINT (-103.482443 20.6213749),20.6213749,103.482443,5495,1158,26
Point 27,POINT (-103.4587537 20.6429022),20.6429022,103.4587537,5414,1079,27
Point 28,POINT (-103.4536039 20.631657),20.631657,103.4536039,5397,1120,28
Point 29,POINT (-103.4518872 20.6287652),20.6287652,103.4518872,5391,1131,29
Point 30,POINT (-103.4501706 20.6040224),20.6040224,103.4501706,5385,1221,30
Point 31,POINT (-103.4384977 20.5696327),20.5696327,103.4384977,5345,1347,31
Point 32,POINT (-103.4223615 20.5715613),20.5715613,103.4223615,5290,1340,32
Point 33,POINT (-103.3581601 20.5715613),20.5715613,103.3581601,5070,1340,33
Point 34,POINT (-103.4189283 20.6759904),20.6759904,103.4189283,5278,958,34
Point 35,POINT (-103.3897458 20.6525403),20.6525403,103.3897458,5178,1044,35
Point 36,POINT (-103.3423673 20.5885962),20.5885962,103.3423673,5016,1277,36
Point 37,POINT (-103.3578168 20.4918753),20.4918753,103.3578168,5069,1631,37
Point 38,POINT (-103.4566938 20.4609988),20.4609988,103.4566938,5407,1744,38
Point 39,POINT (-103.6242353 20.350307),20.350307,103.6242353,5980,2148,39
Point 40,POINT (-103.4251081 20.2859149),20.2859149,103.4251081,5299,2383,40
Point 41,POINT (-103.5967694 20.2794742),20.2794742,103.5967694,5886,2406,41
Point 42,POINT (-103.188902 20.310387),20.310387,103.188902,4492,2294,42
Point 43,POINT (-103.1902753 20.2884911),20.2884911,103.1902753,4497,2374,43
Point 44,POINT (-103.2355939 20.4584255),20.4584255,103.2355939,4652,1753,44
Point 45,POINT (-102.7645551 20.3554573),20.3554573,102.7645551,3042,2129,45
Point 46,POINT (-102.8359662 20.6692943),20.6692943,102.8359662,3286,983,46
Point 47,POINT (-102.7975141 20.5446083),20.5446083,102.7975141,3155,1438,47
Point 48,POINT (-102.919737 20.4095242),20.4095242,102.919737,3573,1932,48
Point 49,POINT (-103.2232343 20.5767536),20.5767536,103.2232343,4609,1321,49
Point 50,POINT (-102.9307233 20.4880161),20.4880161,102.9307233,3610,1645,50
Point 51,POINT (-103.6379682 20.5330343),20.5330343,103.6379682,6026,1480,51
Point 52,POINT (-103.589903 20.5073112),20.5073112,103.589903,5862,1574,52
Point 53,POINT (-103.2685529 20.549752),20.549752,103.2685529,4764,1419,53
Point 54,POINT (-103.3056317 20.5600389),20.5600389,103.3056317,4891,1382,54
Point 55,POINT (-103.2040082 20.6268868),20.6268868,103.2040082,4544,1138,55
Point 56,POINT (-103.6036359 20.9901774),20.9901774,103.6036359,5909,389,56
Point 57,POINT (-102.7755414 20.7990134),20.7990134,102.7755414,3080,509,57
Point 58,POINT (-102.7274762 20.8567731),20.8567731,102.7274762,2916,298,58
Point 59,POINT (-102.6862775 20.6770035),20.6770035,102.6862775,2775,955,59
Point 60,POINT (-103.7058804 20.6886449),20.6886449,103.7058804,6258,912,60
Point 61,POINT (-103.9365933 20.6295356),20.6295356,103.9365933,7047,1128,61
Point 62,POINT (-103.8102505 20.4520704),20.4520704,103.8102505,6615,1776,62
Point 63,POINT (-102.9258511 21.3066122),21.3066122,102.9258511,3593,1545,63
Point 64,POINT (-102.8022549 21.3833577),21.3833577,102.8022549,3171,1825,64
Point 65,POINT (-103.5795376 21.5520559),21.5520559,103.5795376,5827,2441,65
Point 66,POINT (-103.3680508 21.6465435),21.6465435,103.3680508,5104,2786,66
Point 67,POINT (-103.4531948 21.2272664),21.2272664,103.4531948,5395,1255,67
Point 68,POINT (-102.5687954 21.0812612),21.0812612,102.5687954,2374,722,68
Point 69,POINT (-102.354562 20.7194753),20.7194753,102.354562,1642,799,69
Point 70,POINT (-104.3815395 20.796524),20.796524,104.3815395,8567,518,70
Point 71,POINT (-104.5133755 20.5755463),20.5755463,104.5133755,9017,1325,71
Point 72,POINT (-104.029977 20.5498304),20.5498304,104.029977,7366,1419,72
Point 73,POINT (-104.6946499 20.3696979),20.3696979,104.6946499,9637,2077,73
Point 74,POINT (-104.2057583 21.5801533),21.5801533,104.2057583,7966,2544,74
Point 75,POINT (-103.6839077 21.3040533),21.3040533,103.6839077,6183,1536,75
Point 76,POINT (-102.9588101 21.6924881),21.6924881,102.9588101,3706,2954,76
Point 77,POINT (-102.9752895 21.5954768),21.5954768,102.9752895,3762,2600,77
Point 78,POINT (-103.1400845 21.34499),21.34499,103.1400845,4325,1685,78
Point 79,POINT (-103.0627816 20.6279087),20.6279087,103.0627816,4061,1134,79
Point 80,POINT (-103.168525 20.5173374),20.5173374,103.168525,4423,1538,80
Point 81,POINT (-103.7027352 20.6587515),20.6587515,103.7027352,6248,1021,81
Point 82,POINT (-103.6890023 20.7769241),20.7769241,103.6890023,6201,590,82
Point 83,POINT (-103.6862558 20.5353428),20.5353428,103.6862558,6191,1472,83
Point 84,POINT (-103.7164682 20.9629867),20.9629867,103.7164682,6295,290,84
Point 85,POINT (-102.8938668 20.6343348),20.6343348,102.8938668,3484,1110,85
Point 86,POINT (-102.7139657 20.5854896),20.5854896,102.7139657,2869,1289,86
Point 87,POINT (-102.4087401 20.5568144),20.5568144,102.4087401,1827,1394,87
Point 88,POINT (-104.2654295 20.4642055),20.4642055,104.2654295,8170,1732,88
Point 89,POINT (-104.0731688 21.2137367),21.2137367,104.0731688,7513,1206,89
Point 90,POINT (-101.903369 21.3314711),21.3314711,101.903369,100,1636,90
Point 91,POINT (-102.2988768 21.2495789),21.2495789,102.2988768,1451,1337,91
Point 92,POINT (-102.2769041 21.4235452),21.4235452,102.2769041,1376,1972,92
Point 93,POINT (-102.4142332 21.4439982),21.4439982,102.4142332,1845,2047,93
Point 94,POINT (-102.2439452 20.3612411),20.3612411,102.2439452,1264,2108,94
Point 95,POINT (-102.0077391 20.3045814),20.3045814,102.0077391,457,2315,95
Point 96,POINT (-101.9088622 21.0395226),21.0395226,101.9088622,119,569,96
Point 97,POINT (-102.1780272 21.0036296),21.0036296,102.1780272,1038,438,97
Point 98,POINT (-104.3697997 20.2324391),20.2324391,104.3697997,8527,2578,98
Point 99,POINT (-104.4247313 21.4235452),21.4235452,104.4247313,8714,1972,99
Point 100,POINT (-103.578784 22.0358802),22.0358802,103.578784,5824,4208,100
Point 101,POINT (-102.4470242 20.2732705),20.2732705,102.4470242,1957,2429,101
Point 102,POINT (-104.6442898 21.1672466),21.1672466,104.6442898,9465,1036,102
Point 103,POINT (-103.570503 20.6566336),20.6566336,103.570503,5796,1029,103
Point 104,POINT (-103.254467 20.5942492),20.5942492,103.254467,4716,1257,104
Point 105,POINT (-103.0882988 20.5813933),20.5813933,103.0882988,4148,1304,105
Point 106,POINT (-103.1480369 20.570465),20.570465,103.1480369,4353,1344,106
Point 107,POINT (-102.9482231 20.6424489),20.6424489,102.9482231,3670,1081,107
Point 108,POINT (-103.0251274 20.7490768),20.7490768,103.0251274,3933,691,108
Point 109,POINT (-102.9090843 20.7882404),20.7882404,102.9090843,3536,548,109
Point 110,POINT (-103.1349907 20.8742364),20.8742364,103.1349907,4308,234,110
Point 111,POINT (-103.2352409 20.865254),20.865254,103.2352409,4650,267,111
Point 112,POINT (-103.1755027 20.8261104),20.8261104,103.1755027,4446,410,112
Point 113,POINT (-103.0944786 20.8646124),20.8646124,103.0944786,4170,269,113
Point 114,POINT (-103.0381736 20.8460043),20.8460043,103.0381736,3977,337,114
Point 115,POINT (-103.15765 20.7086184),20.7086184,103.15765,4385,839,115
Point 116,POINT (-103.7364921 20.8395872),20.8395872,103.7364921,6363,361,116
Point 117,POINT (-103.8264427 20.880652),20.880652,103.8264427,6670,211,117
Point 118,POINT (-103.8518486 20.8979728),20.8979728,103.8518486,6757,148,118
Point 119,POINT (-103.8388023 20.8594794),20.8594794,103.8388023,6713,288,119
Point 120,POINT (-104.5013729 20.8504649),20.8504649,104.5013729,8976,321,120
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,